"f_year","average_price","previous_year_avg_price","payroll_year_text","average_salary","previous_year_avg_salary","procentage_change_price","procentage_change_salary","proc_difference_price_vs_salary"
"2006",44.62,,"2006",21140.95,,,,
"2013",55.94,53.00,"2013",26541.34,26963.67,5.54716981132075471700,-1.56629271905493577100,7.11346253037569048800
"2012",53.00,49.56,"2012",26963.67,26193.80,6.94108151735270379300,2.93913063396681657500,4.00195088338588721800
"2017",61.03,55.49,"2017",30733.56,28946.62,9.98378086141647143600,6.17322506047338169400,3.81055580094308974200
"2011",49.56,47.89,"2011",26193.80,25528.73,3.48715807057840885400,2.60518247480387782700,0.88197559577453102700
"2010",47.89,47.06,"2010",25528.73,25118.01,1.76370590735231619200,1.63516138420201281900,0.12854452315030337300
"2008",50.49,47.45,"2008",24161.40,22613.47,6.40674394099051633300,6.84516794636117323000,-0.43842400537065689700
"2007",47.45,44.62,"2007",22613.47,21140.95,6.34244733303451367100,6.96524990598814149800,-0.62280257295362782700
"2014",56.44,55.94,"2014",27223.84,26541.34,0.89381480157311405100,2.57146022016974274800,-1.67764541859662869700
"2015",56.12,56.44,"2015",27931.09,27223.84,-0.56697377746279234600,2.59790683459791124200,-3.16488061206070358800
"2016",55.49,56.12,"2016",28946.62,27931.09,-1.12259444048467569500,3.63584092135323039700,-4.75843536183790609200
"2018",62.21,61.03,"2018",33097.88,30733.56,1.93347533999672292300,7.69295844672729094800,-5.75948310673056802500
"2009",47.06,50.49,"2009",25118.01,24161.40,-6.79342444048326401300,3.95924905013782313900,-10.75267349062108715200
